"Name of University","Research Score"
"University of Santiago de Compostela","19.8"
"Savitribai Phule Pune University","23.5"
"University of Campania Luigi Vanvitelli","8.6"
"Shanghai University","33.1"
"Soochow University, China","21.4"
"Southern Cross University","24.9"
"University of Strasbourg","23.1"
"Sultan Qaboos University","18.4"
"University of the Sunshine Coast","26.5"
"Yokohama City University","10.2"
"Zhengzhou University","15.4"
"University of the Aegean","19.3"
"University of Agriculture, Faisalabad","17.4"
"The University of Aizu","13"
"The University of Alabama","19.1"
"Al-Azhar University","9.6"
"Al-Balqa Applied University","11.7"
"University of Alcalá","14"
"Alexandria University","13.7"
"Aligarh Muslim University","12.9"
"American University in Cairo","26.6"
"Anna University","26.6"
"University of Applied Sciences and Arts of Western Switzerland","11.4"
"Aristotle University of Thessaloniki","16.2"
"Athens University of Economics and Business","26.6"
"Universidad Autónoma de Chile","10.2"
"University of Aveiro","25.7"
"University of the Balearic Islands","16.3"
"University of the Basque Country","21.8"
"University of Bedfordshire","15.2"
"University of Beira Interior","20.9"
"University of Belgrade","33"
"Beni-Suef University","8.7"
"University of Bergamo","22.4"
"Bharathiar University","27.6"
"Bilkent University","24.2"
"Birla Institute of Technology and Science, Pilani","11.3"
"Boğaziçi University","24.6"
"University of Brighton","15.6"
"Cairo University","17.1"
"University of Calabria","18"
"Chapman University","13.9"
"Institute of Chemical Technology","19.9"
"Chengdu University","10.6"
"China University of Petroleum, Beijing","25.2"
"Chulalongkorn University","25.5"
"Clemson University","21.4"
"University of Clermont Auvergne","16.3"
"Coventry University","14.4"
"CY Cergy Paris University","24.6"
"University of Dayton","25.4"
"University of Deusto","20.3"
"Diego Portales University","11.1"
"Donghua University","19.6"
"Duzce University","14.6"
"Edge Hill University","14.2"
"University of Engineering and Technology, Peshawar","11.8"
"Ewha Womans University","33.1"
"Federal University of Minas Gerais","19.1"
"Universidade Federal de Sergipe","9.9"
"Firat University","9"
"Florida Agricultural and Mechanical University","13.8"
"Florida Atlantic University","19.3"
"University of Foggia","21.3"
"University of the Free State","17.6"
"Fujita Health University","11.7"
"Fuzhou University","14.4"
"University of Girona","21.9"
"Guangdong University of Technology","14.8"
"Hiroshima University","23.5"
"Indian Institute of Technology Patna","24"
"Indian Institute of Technology Gandhinagar","27.5"
"Universitat Internacional de Catalunya","15.6"
"University of Ioannina","14.5"
"ISCTE-University Institute of Lisbon","32"
"The Islamia University of Bahawalpur","12.1"
"Istanbul Medeniyet University","9.9"
"Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca","9.2"
"University of Jaén","17.6"
"Juntendo University","18.6"
"Kansas State University","20.8"
"Karlstad University","14.4"
"Keio University","24.7"
"Kerman University of Medical Sciences","9.9"
"Kindai University","11"
"King Faisal University","9.4"
"King Khalid University","8.9"
"King Mongkut’s University of Technology Thonburi","18.6"
"Kingston University","16.1"
"KL University","9.6"
"Kobe University","25.2"
"Kurume University","11"
"Kuwait University","10.2"
"Kyungpook National University","35.6"
"University of Lahore","9.6"
"Lakehead University","23"
"University of La Laguna","14.2"
"University of Latvia","27.6"
"Leeds Beckett University","16.5"
"Lithuanian University of Health Sciences","10.6"
"University of Ljubljana","19.5"
"University of Lleida","19.5"
"Lovely Professional University","10.6"
"Mae Fah Luang University","12.4"
"Mahidol University","22.5"
"Makerere University","27.7"
"Universiti Malaysia Pahang","18.2"
"University of Malta","16.7"
"Manipal Academy of Higher Education","17.8"
"Marquette University","16.6"
"Masaryk University","29.7"
"Medical University of Gdańsk","9.3"
"University of Memphis","17.7"
"University of Minho","28.9"
"Mississippi State University","18.5"
"University of Missouri-St Louis","18.8"
"Montana State University","17.7"
"Monterrey Institute of Technology","19.6"
"University of Namur","21.2"
"Nanjing Forestry University","9.3"
"Nanjing University of Information Science and Technology","16.1"
"Nanjing Normal University","13.7"
"Nanjing Tech University","13.7"
"National Institute of Applied Sciences of Lyon (INSA Lyon)","22.9"
"École Nationale des Travaux Publics de l'État (ENTPE)","34.7"
"National University of Sciences and Technology","17.7"
"National Sun Yat-Sen University","33.2"
"National Taiwan Normal University","34.4"
"National Technical University of Athens","21.6"
"National Institute of Technology Hamirpur","16.6"
"National Institute of Technology, Tiruchirappalli","15.9"
"The New School","14.5"
"New Mexico State University (Main campus)","22.2"
"Nippon Medical School","9.5"
"University of North Carolina at Greensboro","19"
"Northeastern University, China","24.8"
"Northeast Normal University","13.9"
"University of Northern British Columbia (UNBC)","21.5"
